x,h,j
1.1073294106417209e-10,-2.0436307061202347e-21,-1.226178423672141e-21
1.1102279036708757e-10,-2.054343330149045e-21,-1.2326059980894273e-21
1.1131339836581339e-10,-2.0651121092910443e-21,-1.2390672655746266e-21
1.116047670462753e-10,-2.075937337908896e-21,-1.2455624027453378e-21
1.1189689839959735e-10,-2.0868193119083016e-21,-1.2520915871449812e-21
1.1218979442211682e-10,-2.097758328746139e-21,-1.2586549972476834e-21
1.1248345711539513e-10,-2.108754687438489e-21,-1.2652528124630937e-21
1.1277788848623287e-10,-2.119808688568863e-21,-1.2718852131413179e-21
1.1307309054668499e-10,-2.1309206342964704e-21,-1.2785523805778823e-21
1.1336906531407116e-10,-2.142090828364355e-21,-1.2852544970186133e-21
1.1366581481099342e-10,-2.1533195761078417e-21,-1.2919917456647053e-21
1.1396334106534663e-10,-2.1646071844627535e-21,-1.2987643106776522e-21
1.142616461103338e-10,-2.17595396197386e-21,-1.3055723771843161e-21
1.1456073198448135e-10,-2.1873602188033613e-21,-1.312416131282017e-21
1.1486060073165026e-10,-2.1988262667392627e-21,-1.3192957600435577e-21
1.1516125440105139e-10,-2.2103524192039465e-21,-1.326211451522368e-21
1.1546269504726094e-10,-2.221938991262796e-21,-1.3331633947576779e-21
1.157649247302317e-10,-2.233586299632702e-21,-1.3401517797796213e-21
1.1606794551530844e-10,-2.2452946626907678e-21,-1.3471767976144608e-21
1.163717594732435e-10,-2.257064400483073e-21,-1.354238640289844e-21
1.1667636868020768e-10,-2.2688958347332913e-21,-1.3613375008399749e-21
1.169817752178081e-10,-2.2807892888516302e-21,-1.3684735733109782e-21
1.172879811730992e-10,-2.2927450879435457e-21,-1.3756470527661274e-21
1.1759498863859844e-10,-2.304763558818683e-21,-1.38285813529121e-21
1.179027997123019e-10,-2.3168450299998625e-21,-1.3901070179999176e-21
1.182114164976959e-10,-2.328989831731955e-21,-1.3973938990391732e-21
1.185208411037727e-10,-2.3411982959909562e-21,-1.404718977594574e-21
1.1883107564504648e-10,-2.3534707564931263e-21,-1.4120824538958759e-21
1.1914212224156475e-10,-2.3658075487039927e-21,-1.4194845292223958e-21
1.1945398301892436e-10,-2.3782090098475777e-21,-1.4269254059085468e-21
